City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
321,Lorengau,PG,80.24,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
322,Porto Santo,PT,77.38,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
323,Vila Franca Do Campo,PT,77.41,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
324,Bermejillo,MX,68.04,overcast clouds,25.8833,-103.6167,Hotel Mirador
326,Isangel,VU,71.73,overcast clouds,-19.55,169.2667,Tanna Lodge
327,College,US,48.79,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
328,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
329,Miri,MY,76.21,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
330,Lagoa,PT,75.83,light rain,39.05,-27.9833,Casa Das Faias
331,Hasaki,JP,77.4,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
333,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
334,Axim,GH,77.27,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
335,Xichang,CN,62.53,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
336,Yarada,IN,80.92,few clouds,17.65,83.2667,Yarada Jungle Beach Resorts
337,Padang,ID,77.36,overcast clouds,-0.9492,100.3543,Mercure Padang
338,Charcas,MX,67.95,overcast clouds,23.1333,-101.1167,Hotel El Malacate
340,Port Keats,AU,73.98,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
341,Muros,ES,71.17,few clouds,42.7762,-9.0603,Apartment Av. Castelao
342,Bharatpur,IN,89.08,scattered clouds,27.2167,77.4833,OYO 22446 Sonar Haveli
343,Batagay,RU,45.63,light rain,67.6333,134.6333,Gostinitsa Ki'ileekh
344,Lahan,NP,79.56,light rain,26.7296,86.4951,Bhattarai Residence
345,Nyanguge,TZ,74.03,scattered clouds,-2.55,33.2,Macho lodge
346,Male,MV,79.03,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
348,Yeppoon,AU,58.78,clear sky,-23.1333,150.7333,Villa Mar Colina
350,Imperia,IT,72.09,scattered clouds,43.9667,7.7833,La Stregatta
351,Santa Cruz De La Palma,ES,77.14,scattered clouds,28.6835,-17.7642,H10 Taburiente Playa
352,Palasa,IN,80.62,scattered clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
353,Te Anau,NZ,33.04,light snow,-45.4167,167.7167,Kingsgate Hotel Te Anau
354,Makakilo City,US,80.62,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
356,Maturin,VE,89.31,scattered clouds,9.75,-63.1767,Hotel Residencial La Pichincha
357,Gboko,NG,75.13,light rain,7.3179,8.9951,Mavillah Apartment and Suites
358,Newport,GB,66.31,overcast clouds,51.5877,-2.9984,ibis budget Newport
359,La Ronge,CA,64.09,clear sky,55.1001,-105.2842,Northland Motor Hotel
361,Mehamn,NO,42.75,light intensity drizzle,71.0357,27.8492,Mehamn Arctic Hotel AS
362,Northam,GB,59.4,overcast clouds,51.0333,-4.2167,Durrant House Hotel
363,Sanok,PL,61.27,overcast clouds,49.5557,22.2056,Jagielloński Hotel i Restauracja
364,Biak,ID,74.43,overcast clouds,-0.9131,122.8766,Penginapan Kim
365,Ambilobe,MG,71.33,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
366,Albanel,CA,69.93,few clouds,48.8832,-72.4487,Camping municipal d'Albanel
367,Moyale,KE,75.83,overcast clouds,3.5167,39.0584,La Tahzan Guest House
368,Bengkulu,ID,75.06,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
369,Bandundu,CD,79.02,light rain,-3.3167,17.3667,Coja Color
370,Bambanglipuro,ID,76.06,broken clouds,-7.95,110.2833,Puri Brata
372,Marzuq,YE,85.64,broken clouds,14.4,46.4667,حيد القفلة
373,Beatrice,US,87.89,clear sky,40.2681,-96.747,Victorian Inn Beatrice
375,San Cristobal,VE,83.23,broken clouds,7.7669,-72.225,Pirineos
