City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
84,Atar,20.5169,-13.0499,106.16,13,7,18.37,MR,clear sky,2022-09-06 18:00:48
85,Khatanga,71.9667,102.5,38.75,92,99,9.13,RU,overcast clouds,2022-09-06 18:00:49
86,Trincomalee,8.5711,81.2335,79.63,78,100,22.41,LK,overcast clouds,2022-09-06 18:00:49
87,Maputo,-25.9653,32.5892,67.77,66,87,12.84,MZ,overcast clouds,2022-09-06 18:00:44
88,Sivaki,52.6333,126.75,51.22,93,100,10.85,RU,light rain,2022-09-06 18:00:49
89,Maun,-19.9833,23.4167,76.05,10,0,8.46,BW,clear sky,2022-09-06 18:00:50
90,Klaksvik,62.2266,-6.589,58.12,98,86,15.9,FO,overcast clouds,2022-09-06 18:00:50
91,Martapura,-3.4167,114.85,75.29,88,20,6.91,ID,few clouds,2022-09-06 18:00:50
92,Laguna,38.421,-121.4238,109.18,23,0,3.44,US,clear sky,2022-09-06 18:00:51
93,Talnakh,69.4865,88.3972,33.6,96,100,5.44,RU,light snow,2022-09-06 18:00:51
94,Pasni,25.2631,63.471,79.88,82,0,7.9,PK,clear sky,2022-09-06 18:00:52
95,Tongliao,43.6125,122.2653,49.42,75,2,9.62,CN,clear sky,2022-09-06 18:00:52
96,Gravdal,68.1214,13.5031,49.89,81,75,8.05,NO,broken clouds,2022-09-06 18:00:52
97,Sinuknipan,13.8894,122.6375,77.14,90,99,2.08,PH,overcast clouds,2022-09-06 18:00:53
98,Atambua,-9.1061,124.8925,70.77,83,99,3.33,ID,overcast clouds,2022-09-06 18:00:53
99,Bonthe,7.5264,-12.505,75.51,94,100,4.79,SL,moderate rain,2022-09-06 18:00:53
100,Smirnykh,49.75,142.8333,59.07,98,100,17.34,RU,overcast clouds,2022-09-06 18:00:54
101,Nishihara,26.1842,127.7558,79.88,83,75,8.05,JP,broken clouds,2022-09-06 18:00:54
102,El Tigre,8.8875,-64.2454,86.13,60,62,6.49,VE,broken clouds,2022-09-06 18:00:54
103,Bluefield,37.2698,-81.2223,76.57,80,75,5.75,US,broken clouds,2022-09-06 17:59:14
104,Raudeberg,61.9875,5.1352,63.27,66,9,17.13,NO,clear sky,2022-09-06 18:00:55
105,Geraldton,-28.7667,114.6,54.01,87,75,5.75,AU,broken clouds,2022-09-06 18:00:55
106,Biltine,14.5333,20.9167,86.0,53,64,0.94,TD,broken clouds,2022-09-06 18:00:55
107,Luwuk,-0.9516,122.7875,75.72,92,100,1.45,ID,overcast clouds,2022-09-06 18:00:56
108,Goundam,16.4145,-3.6708,99.45,28,13,11.34,ML,few clouds,2022-09-06 18:00:56
109,Boa Vista,2.8197,-60.6733,87.78,50,40,3.44,BR,scattered clouds,2022-09-06 17:57:41
110,Mafeteng,-29.823,27.2374,51.96,17,1,1.14,LS,clear sky,2022-09-06 18:00:56
111,Xudat,41.631,48.681,61.61,76,100,4.45,AZ,overcast clouds,2022-09-06 18:00:57
112,Hobyo,5.3505,48.5268,75.87,79,28,28.43,SO,scattered clouds,2022-09-06 18:00:57
113,Chokurdakh,70.6333,147.9167,41.72,62,98,8.52,RU,overcast clouds,2022-09-06 18:00:57
114,Abeche,13.8292,20.8324,80.11,68,93,5.1,TD,light rain,2022-09-06 18:00:58
115,Cabo San Lucas,22.8909,-109.9124,82.71,84,100,26.46,MX,overcast clouds,2022-09-06 18:00:58
116,Bredasdorp,-34.5322,20.0403,49.01,86,21,3.44,ZA,few clouds,2022-09-06 18:00:59
117,Nhulunbuy,-12.2333,136.7667,70.41,88,82,2.3,AU,broken clouds,2022-09-06 18:00:59
118,Kautokeino,69.0125,23.0412,40.51,85,100,6.29,NO,overcast clouds,2022-09-06 18:00:59
119,Port Alfred,-33.5906,26.891,58.75,75,0,6.24,ZA,clear sky,2022-09-06 18:00:59
120,Ciro Marina,39.3732,17.126,78.48,55,0,4.72,IT,clear sky,2022-09-06 18:01:00
121,Deputatskiy,69.3,139.9,40.84,63,97,4.21,RU,overcast clouds,2022-09-06 18:01:00
122,Kharan,28.5833,65.4167,89.53,10,0,1.5,PK,clear sky,2022-09-06 18:01:01
123,Rock Sound,24.9,-76.2,83.44,71,3,7.25,BS,clear sky,2022-09-06 18:01:01
124,Tura,25.5198,90.2201,74.34,94,99,2.57,IN,overcast clouds,2022-09-06 18:01:01
125,Vieux-Habitants,16.0589,-61.7659,83.41,76,60,8.3,GP,broken clouds,2022-09-06 18:01:02
126,Nanortalik,60.1432,-45.2371,43.9,96,100,6.78,GL,overcast clouds,2022-09-06 18:01:02
127,Asilah,35.465,-6.0348,75.16,75,47,10.56,MA,scattered clouds,2022-09-06 18:01:02
128,Hithadhoo,-0.6,73.0833,81.52,72,90,13.6,MV,overcast clouds,2022-09-06 18:01:03
129,Henties Bay,-22.116,14.2845,57.15,78,2,5.44,NA,clear sky,2022-09-06 18:01:03
130,Bone,51.9669,12.1396,70.83,71,55,2.37,DE,broken clouds,2022-09-06 18:01:03
131,Tasiilaq,65.6145,-37.6368,42.96,93,64,4.9,GL,broken clouds,2022-09-06 18:01:04
132,Grand Island,40.925,-98.342,83.98,20,23,7.83,US,few clouds,2022-09-06 17:57:32
133,Itabuna,-14.7856,-39.2803,68.43,95,99,5.35,BR,overcast clouds,2022-09-06 18:01:04
134,Gat,31.61,34.7642,80.82,100,0,6.91,IL,clear sky,2022-09-06 18:01:05
135,Camargo,27.6667,-105.1667,78.24,51,80,7.25,MX,broken clouds,2022-09-06 17:56:14
136,Avarua,-21.2078,-159.775,75.25,88,75,5.75,CK,broken clouds,2022-09-06 18:01:05
137,Sinnamary,5.3833,-52.95,85.96,64,71,13.11,GF,broken clouds,2022-09-06 18:01:05
138,Puerto Escondido,15.85,-97.0667,86.2,62,82,6.29,MX,broken clouds,2022-09-06 18:01:05
139,Denpasar,-8.65,115.2167,78.46,88,20,5.75,ID,few clouds,2022-09-06 18:00:15
140,Grindavik,63.8424,-22.4338,55.87,76,0,10.36,IS,clear sky,2022-09-06 18:01:06
141,Port Hedland,-20.3167,118.5667,62.65,82,0,9.22,AU,clear sky,2022-09-06 18:01:06
142,Moerai,-22.4333,-151.3333,73.27,78,56,20.96,PF,broken clouds,2022-09-06 18:01:06
143,Mastic Beach,40.7668,-72.8521,72.28,96,100,9.28,US,moderate rain,2022-09-06 18:01:07
